Principal Component 0,Principal Component 1,Intensity Group
2.434050847,-4.410422141,0
3.944806417,-2.636152486,2
0.846938692,-3.156572082,4
0.307824892,-3.930373288,1
3.958798517,-2.470372983,3
1.199838311,-3.528989314,0
0.006514037,-2.484819154,4
-0.497516141,-2.476440012,0
-0.167482989,-2.717655295,2
0.916636099,-2.129418555,0
-0.190563244,-2.571060067,1
0.011957233,-2.50872209,0
-0.441194236,-2.797957875,4
-0.025058836,-2.193565546,0
1.323075058,-2.017026633,4
-0.628025368,-2.681451246,0
3.78986349,-1.324337377,3
-0.125563673,-2.364325069,4
4.975427509,-0.808153789,0
0.652803623,-2.198802783,1
1.769667949,-1.73084964,1
-1.586948268,-3.082868465,0
1.904286393,-2.14430548,1
-0.196922404,-2.245359877,3
-0.603617763,-2.830519067,2
0.632929597,-2.332364564,1
1.834397447,-1.843062183,4
2.558177462,-1.832498191,0
-0.09011539,-2.544308829,0
0.984944138,-0.891217733,4
0.855014257,-0.933834099,3
1.129982198,-0.846192672,0
3.460341672,-0.231461783,1
-1.361059552,-1.372924176,0
-1.625896431,-1.750208209,0
1.744539116,-0.678475776,3
0.815582802,-0.950806139,4
0.92965468,-0.75977205,0
0.669537821,-1.127439513,0
10.59131168,1.883299508,0
-1.023934304,-1.570222314,3
-0.271490922,-1.369114293,0
0.929514066,-0.930481705,1
0.042122666,-1.00479822,0
0.588243336,-1.163400959,0
-1.549108178,-1.739256612,4
2.916311849,-0.379977781,1
3.858623933,-0.248271067,1
0.633542347,-0.834494381,2
2.529939705,-0.627085672,0
4.219259303,0.136336195,0
3.954422423,-0.240947838,3
-0.64782268,-1.181709704,2
2.000174572,-0.467166117,4
1.766122241,-0.699709659,0
1.915939124,-0.487018701,0
-0.009535505,-1.008004607,0
-0.269652364,-1.375672071,1
-0.116953321,-1.3371393,1
1.692583526,-0.692990257,4
-0.566314407,-1.161141536,2
-1.307310534,-1.676836525,0
-0.208779097,-1.360311034,1
4.588993983,0.231040494,1
-1.116521059,-1.465039398,2
-0.24490403,-1.215603789,4
0.713580138,-0.805871782,0
6.479403472,0.399022018,0
0.897801827,0.250181322,0
1.685773909,0.664630984,1
7.674796035,2.234897901,3
-1.548766199,-0.370001435,0
2.959917381,0.819691275,3
-0.779376081,-0.173042496,0
1.852776842,0.53609909,3
-1.91283274,-0.481530179,2
0.284346617,0.263245878,1
-0.104977645,0.00977508,0
0.732448492,0.25620076,0
2.788007289,0.836692963,3
-0.981006119,-0.215497237,1
-1.248681152,-0.311127609,0
-0.27602325,-0.026365618,1
-1.441393513,-0.352735794,0
4.280689034,1.315226594,0
1.75748774,0.510649634,0
0.805902878,0.413112522,0
-1.791156862,-0.440996666,1
-1.888748081,-0.320225601,1
0.674729976,0.209337584,0
-2.504323077,-0.642022578,0
0.042987705,0.192511004,0
-0.079990695,0.023102128,3
-0.619539114,0.030943934,0
-1.589597479,-0.388730485,0
-1.784980033,-0.285614802,2
1.265781582,0.37814477,1
-2.045264853,-0.516352471,2
-1.593499537,-0.38269342,0
-0.714814544,-0.148325246,1
-0.150149715,0.005397882,2
1.614512483,0.656477821,1
3.212779834,0.910180002,2
0.702443405,0.412281585,0
0.79123343,0.40238904,1
1.323037235,0.374338153,1
0.025093548,0.032768565,2
1.817613003,0.690878132,3
-0.972920077,-0.076484591,1
0.08581183,0.221572207,0
-1.184358231,-0.139669125,1
-0.926491314,-0.064768546,0
3.102807611,1.027826788,0
-0.197017209,0.001996624,1
-1.301384746,-0.160774629,0
-0.864572624,-0.202966878,0
-0.483927422,-0.097083869,4
-0.424608965,0.089962763,0
2.947665837,0.964804883,1
1.017864092,0.304351104,0
0.409852078,0.293512725,1
0.277433638,0.104870708,0
-1.832440547,-0.297591203,0
-1.974299027,-0.50546636,1
-0.94533359,-0.198069971,0
0.669273108,0.387060244,3
5.544311673,1.695880902,0
-2.130273705,0.806088393,1
-2.659859024,0.661217387,0
2.737163378,2.089118134,1
-3.125546481,0.542299928,3
-3.125546481,0.542299928,0
-2.011990497,0.834532743,0
-0.427515827,1.251214403,2
-1.826416756,0.901019804,0
0.567472505,1.540207586,0
-1.091442472,1.087890323,0
-2.41437311,0.732993687,0
-0.639322057,1.186533216,0
2.855827637,2.155571949,2
-2.530297219,0.7023371,0
-3.131736983,0.540737789,0
-1.309580515,1.041269878,0
0.716851354,1.570880795,1
-1.271998774,1.042327926,0
0.053138497,1.392163438,0
-2.193649204,0.79852143,1
-2.198369224,0.78890486,2
-2.352468093,0.748615081,0
-0.330815744,1.300892637,3
-1.076261817,1.094528621,0
-1.80475,0.906487291,3
-3.124514731,0.542560285,0
-2.176263736,0.786057561,0
-1.620659716,0.944515971,0
-2.07602967,0.828202077,0
3.658328552,2.410035437,4
-1.892448774,0.884356984,0
-2.23588031,0.778035371,0
-3.000704696,0.573803071,0
0.024095201,1.367983523,0
-0.382035183,1.289371462,0
-2.005431919,0.837591536,0
-2.30810283,0.759810412,0
-0.761577978,1.17393737,0
9.863270933,4.009512157,1
-2.30603933,0.760331125,0
-2.020908174,0.833686187,0
-0.314532682,1.297979851,0
1.184756599,1.707208898,0
-2.460363142,0.712962855,2
-1.808438269,0.897131078,0
-1.10714367,1.076906484,0
-3.074990717,0.555057399,0
-1.117306886,1.09119285,1
0.002582733,1.379405967,2
-0.940438854,1.127399033,0
-2.330208318,0.762657712,1
-2.367944347,0.744709732,2
-0.28129173,1.313389752,0
0.144893617,1.425146611,0
-0.82444409,1.14824418,0
-0.580951021,1.209688327,2
-0.640340831,1.222785671,1
-2.053924183,0.825354778,0
-1.199846909,1.070364325,0
-2.467360451,0.71821885,0
-1.617789409,0.93821855,1
-1.089888359,1.106537264,0
-1.292633779,1.037120795,2
-0.162426658,1.327937478,0
-2.130712436,0.81440318,0
-0.386091528,1.278518596,0
-1.110606997,1.074628762,1
-1.747565002,0.912492115,1
-3.05229221,0.560785244,0
1.116590424,1.699836806,2
-1.043175152,1.093048591,0
-1.958410137,0.857882724,0
-2.699504266,0.659638625,0
-2.248261313,0.774911093,0
-1.610342213,0.947119536,0
-1.370015051,1.017594054,0
-0.050036532,1.366127782,1
-1.578582898,0.948112099,0
-2.392706354,0.738461175,0
0.0439234,1.380008789,1
1.228753786,1.716907577,4
-0.933287258,1.139032969,0
-0.938007278,1.129416399,1
0.170473586,1.447048803,2
-1.998648399,0.847728819,0
-1.112895441,1.067029558,0
